id,category,name,source_triangles,new_triangles,enclosure_triangles,mesh_objects,bones,width_m,depth_m,height_m,fbx_bytes,glb_bytes
person-1,characters,Рубашка и чиносы,2064,58579,0,5,22,0.6299999952316284,0.26827341318130493,1.7590000629425049,5302972,4201836
person-2,characters,Синяя рубашка,2064,58579,0,5,22,0.6299999952316284,0.26827341318130493,1.7590000629425049,5303020,4201840
person-3,characters,Деловой костюм,2108,58276,0,5,22,0.6299999952316284,0.26827341318130493,1.7590000629425049,5282460,4176548
person-4,characters,Топ и джинсы,1816,49060,0,5,22,0.5799999237060547,0.2709999084472656,1.7489999532699585,4605132,3699208
person-5,characters,Блузка и юбка,1996,57928,0,5,22,0.5799999237060547,0.30299997329711914,1.7489999532699585,5241276,4147496
person-6,characters,Топ с принтом,1972,53104,0,5,22,0.5799999237060547,0.30299997329711914,1.7489999532699585,4882604,3891320
campus,interiors,Кампус,8132,51662,67080,12,0,14.0121431350708,19.5,3.679999828338623,3937292,3717188
dc-north,interiors,Северный дата-центр,8414,34789,67080,10,0,13.680000305175781,19.5,3.679999828338623,2361692,2829060
dc-south,interiors,Южный дата-центр,8418,34915,67080,10,0,13.680000305175781,19.5,3.679999828338623,2370220,2839800
garage,interiors,Гараж,4241,52740,23560,11,0,7.179999828338623,8.25,3.679999828338623,3979452,3349028
hq,interiors,Штаб-квартира,2464,54610,23560,12,0,6.779999732971191,6.149999618530273,3.679999828338623,4224188,3456140
server-hall,interiors,Серверный цех,5555,29359,45320,10,0,11.079999923706055,15.0,3.679999828338623,2163852,2418832
technopark,interiors,Технопарк,5684,111266,45320,12,0,9.780000686645508,12.75,3.679999828338623,7917260,5985936
workshop,interiors,Мастерская,4136,50324,34440,11,0,8.480000495910645,10.5,3.679999828338623,3718252,3398964
rack-basic,racks,EDGE / базовая,932,165920,0,6,0,0.8050000667572021,1.0458624362945557,1.274999976158142,11038716,7767004
rack-cooled,racks,FLOW / охлаждаемая,1548,298100,0,10,0,0.8050000667572021,1.0458624362945557,1.9270000457763672,19653500,13378568
rack-enterprise,racks,CORE / старшая,1928,392160,0,12,0,0.9259999990463257,1.0458624362945557,2.292492389678955,25756140,17007472
car-1,vehicles,Бирюзовый седан,7996,83443,0,10,0,2.196000099182129,4.723875045776367,1.6428179740905762,5228172,5294872
car-2,vehicles,Грузовой фургон,9044,90020,0,10,0,2.440000057220459,5.302499771118164,2.4348630905151367,5665740,5637216
car-3,vehicles,Компактный хетчбэк,7988,83617,0,10,0,2.196000099182129,4.390749931335449,1.6428179740905762,5232060,5343616
car-4,vehicles,Спортивное купе,19768,86168,0,12,0,2.330000162124634,5.059999942779541,1.4977550506591797,5064124,5812584
car-5,vehicles,Автобус,12840,94259,0,10,0,3.200000047683716,8.864175796508789,3.581007957458496,5917148,5993856
car-6,vehicles,Такси,8597,84333,0,10,0,2.196000099182129,4.723875045776367,1.9483431577682495,5268284,5383812
